ID,SMILES,mw,Group,SA
EN300-28670164,[N-]=[N+]=NCc1ccc(CCO)cc1,177.2,Comprehensive,2.347749105518181
EN300-8206817,[N-]=[N+]=Nc1ccc(OCCO)cc1,179.18,Comprehensive,2.361834760403836
EN300-52600417,[N-]=[N+]=NCC1CC(CO)C1,141.17,Comprehensive,3.428720648726795
EN300-9406765,[N-]=[N+]=NCCCCCCCCCCCO,213.32,Comprehensive,2.382600023991751
EN300-8588388,[N-]=[N+]=NCCCCCCCCCCO,199.29,Comprehensive,2.4142882779998303
EN300-7563169,[N-]=[N+]=NCCCCOCCCCO,187.24,Comprehensive,2.6365985857676613
EN300-51848817,[N-]=[N+]=Nc1ccc(OCCOCCO)cc1,223.23,Comprehensive,2.4076993114687326
EN300-9161163,[N-]=[N+]=NCCCN1CCN(CCO)CC1,213.28,Comprehensive,2.4861434944747582
EN300-46752250,[N-]=[N+]=Nc1cccc(OCCOCCO)c1,223.23,Comprehensive,2.50202773956238
EN300-7406235,[N-]=[N+]=NCCOCCOCCOCCOCCO,263.29,Comprehensive,2.7796970827966483
EN300-45724581,[N-]=[N+]=NCC[C@H]1C[C@H](O)C1,141.17,Comprehensive,3.278725776931924
EN300-22886539,[N-]=[N+]=NCCCCCCCCCCCCO,227.35,Comprehensive,2.3588615188265933
EN300-7730146,[N-]=[N+]=NCCCCCCCO,157.21,Comprehensive,2.579127383443632
EN300-7891010,[N-]=[N+]=NCCCCCCCCO,171.24,Comprehensive,2.509572330638606
EN300-24791881,[N-]=[N+]=NCCCOCCCO,159.19,Comprehensive,2.816178003791027
EN300-244444,[N-]=[N+]=NCCOCCOCCOCCO,219.24,Comprehensive,2.792745641165276
EN300-22991137,[N-]=[N+]=NCCCOCCOCCCO,203.24,Comprehensive,2.74177750876906
EN300-8207051,[N-]=[N+]=NCCCCCCCCCO,185.27,Comprehensive,2.4557790431481195
EN300-207147,[N-]=[N+]=NCCOCCOCCO,175.19,Comprehensive,2.8591388464757106
EN300-196923,[N-]=[N+]=NCCCCCCO,143.19,Comprehensive,2.6693748611810086
EN300-22991138,[N-]=[N+]=NCCCCOCCCOCCCCO,245.32,Comprehensive,2.629884478229881
EN300-226453,[N-]=[N+]=NCCCCCO,129.16,Comprehensive,2.787597237994788
EN300-1984471,C[C@H](O)c1ccc(O)c(Cl)c1,172.61,Comprehensive,2.390973964245765
EN300-1973559,Oc1ccc([C@H](O)C(F)(F)F)c(Cl)c1,226.58,Comprehensive,2.871452887380727
EN300-80660,OCc1ccc(O)c(F)c1,142.13,Comprehensive,1.8641719307780773
EN300-1973605,Oc1ccc(C(O)C(F)(F)F)c(Cl)c1,226.58,Comprehensive,2.871452887380727
EN300-79113,CN(CCO)C(=O)c1ccc(O)cc1,195.22,Comprehensive,1.8148919217245252
EN300-1822063,C[C@@H](O)Cc1ccc(O)cc1F,170.18,Comprehensive,2.559641747711812
EN300-1945954,Oc1ccc([C@H](O)C(F)(F)F)cc1Cl,226.58,Comprehensive,2.787518271996113
EN300-1995023,C[C@@H](O)c1ccc(O)cc1Cl,172.61,Comprehensive,2.4948821870574367
EN300-1866117,CC(C)(CO)Cc1ccc(O)cc1,180.24,Comprehensive,2.0833157939648697
EN300-1854181,Cc1cc(CCC(C)O)cc(C)c1O,194.27,Comprehensive,2.5710963385241783
