ID,SMILES,mw,Group,SA,_nn_tanimoto,scaffold
EN300-52600417,[N-]=[N+]=NCC1CC(CO)C1,141.17,Comprehensive,3.428720648726795,0.6296296296296297,C1CCC1
EN300-9406765,[N-]=[N+]=NCCCCCCCCCCCO,213.32,Comprehensive,2.382600023991751,1.0,
EN300-8588388,[N-]=[N+]=NCCCCCCCCCCO,199.29,Comprehensive,2.4142882779998303,1.0,
EN300-7563169,[N-]=[N+]=NCCCCOCCCCO,187.24,Comprehensive,2.6365985857676613,0.9583333333333334,
EN300-9161163,[N-]=[N+]=NCCCN1CCN(CCO)CC1,213.28,Comprehensive,2.4861434944747582,0.6666666666666666,C1CNCCN1
EN300-7406235,[N-]=[N+]=NCCOCCOCCOCCOCCO,263.29,Comprehensive,2.7796970827966483,1.0,
EN300-45724581,[N-]=[N+]=NCC[C@H]1C[C@H](O)C1,141.17,Comprehensive,3.278725776931924,0.6296296296296297,C1CCC1
EN300-22886539,[N-]=[N+]=NCCCCCCCCCCCCO,227.35,Comprehensive,2.3588615188265933,1.0,
EN300-7730146,[N-]=[N+]=NCCCCCCCO,157.21,Comprehensive,2.579127383443632,1.0,
EN300-7891010,[N-]=[N+]=NCCCCCCCCO,171.24,Comprehensive,2.509572330638606,1.0,
EN300-24791881,[N-]=[N+]=NCCCOCCCO,159.19,Comprehensive,2.816178003791027,0.9565217391304348,
EN300-244444,[N-]=[N+]=NCCOCCOCCOCCO,219.24,Comprehensive,2.792745641165276,1.0,
EN300-22991137,[N-]=[N+]=NCCCOCCOCCCO,203.24,Comprehensive,2.74177750876906,0.9565217391304348,
EN300-8207051,[N-]=[N+]=NCCCCCCCCCO,185.27,Comprehensive,2.4557790431481195,1.0,
EN300-207147,[N-]=[N+]=NCCOCCOCCO,175.19,Comprehensive,2.8591388464757106,1.0,
EN300-196923,[N-]=[N+]=NCCCCCCO,143.19,Comprehensive,2.6693748611810086,1.0,
EN300-22991138,[N-]=[N+]=NCCCCOCCCOCCCCO,245.32,Comprehensive,2.629884478229881,0.9583333333333334,
EN300-226453,[N-]=[N+]=NCCCCCO,129.16,Comprehensive,2.787597237994788,1.0,
EN300-1981388,OCC1(Cc2ccc(O)c(Cl)c2)CC1,212.67,Comprehensive,2.311028763829791,0.7352941176470589,c1ccc(CC2CC2)cc1
EN300-1821673,OCC1(Cc2ccc(O)cc2F)CC1,196.22,Comprehensive,2.397403257756915,0.7352941176470589,c1ccc(CC2CC2)cc1
EN300-3189313,Cc1nc(CO)ccc1O,139.15,Comprehensive,2.399053982060129,0.5483870967741935,c1ccncc1
EN300-80019,OCc1ccc(O)cn1,125.13,Comprehensive,2.3040396995332486,0.9523809523809523,c1ccncc1
EN300-1870791,OCC1(c2ccc(O)cc2)CC1,164.2,Comprehensive,2.22315834462462,0.6538461538461539,c1ccc(C2CC2)cc1
EN300-7809270,Cc1cc(O)cc(=O)n1CCO,169.18,Comprehensive,2.4227050229463,0.6666666666666666,O=c1cccc[nH]1
EN300-1296562,OCCCc1cnn(-c2ccc(O)cc2)c1,218.25,Comprehensive,2.085908676017228,0.75,c1ccc(-n2cccn2)cc1
EN300-7243012,OCc1cc(O)ccn1,125.13,Comprehensive,2.478612007225557,0.6538461538461539,c1ccncc1
EN300-1855759,OCC1(Cc2ccc(O)cc2)CC1,178.23,Comprehensive,2.109805134624212,0.6785714285714286,c1ccc(CC2CC2)cc1
EN300-1792570,OCC1(Cc2ccc(O)c(F)c2)CC1,196.22,Comprehensive,2.340211354922907,0.7352941176470589,c1ccc(CC2CC2)cc1
EN300-24793771,Cl.OCc1ccc(O)cn1,161.59,Comprehensive,2.483814337089713,0.9523809523809523,c1ccncc1
EN300-1991424,OCC1(Cc2ccc(O)cc2Cl)CC1,212.67,Comprehensive,2.3767324075544867,0.7352941176470589,c1ccc(CC2CC2)cc1
EN300-123287,CC(CO)CBr,153.02,Comprehensive,3.363150542282442,0.5789473684210527,
EN300-649278,OCc1cnc(CCl)o1,147.56,Comprehensive,3.039525237994789,0.7142857142857143,c1cocn1
EN300-304702,CC(O)CCBr,153.02,Comprehensive,3.3172828499747498,0.6666666666666666,
EN300-2803502,CN(CCO)C(=O)CBr,196.04,Comprehensive,2.575395900202146,0.3939393939393939,
EN300-221518,OCCCI,185.99,Comprehensive,3.0906058970812627,0.7692307692307693,
EN300-20000,OCCCCCl,108.57,Comprehensive,2.206230548286161,0.9230769230769231,
EN300-85130,OCCCCCCCCCl,164.67,Comprehensive,1.95042321282936,1.0,
EN300-182604,OCCOCCOCCBr,213.07,Comprehensive,2.5103418941480413,1.0,
EN300-97571,OCCCCCCCl,136.62,Comprehensive,2.029999239405827,1.0,
EN300-23312090,OCCOCCOCCI,260.07,Comprehensive,2.6787358501919964,0.9375,
EN300-768502,OC1CCN(CCCBr)CC1,222.12,Comprehensive,2.2275422717811004,0.6428571428571429,C1CCNCC1
EN300-768496,OCCN1CCN(CCCBr)CC1,251.16,Comprehensive,2.101298793667869,0.5769230769230769,C1CNCCN1
EN300-22991136,OCCCCOCCCOCCCCCl,238.75,Comprehensive,2.2428762315051696,0.9473684210526315,
EN300-85285,OCCCCCCCCBr,209.12,Comprehensive,2.029197938104085,1.0,
EN300-6490216,O[C@H]1C[C@@H](Br)C1,151.0,Comprehensive,3.1755028559784684,1.0,C1CCC1
EN300-216349,OC[C@H]1C[C@H]1Br,151.0,Comprehensive,3.7724307471287695,0.45,C1CC1
EN300-7456499,O=S(=O)(CCBr)CCCO,231.11,Comprehensive,2.906276467267229,0.7142857142857143,
EN300-121398,OCC1(CBr)CC1,165.03,Comprehensive,3.0508158942163863,0.5,C1CC1
EN300-7488184,CN(CC(=O)N1CCC(O)CC1)C(=O)CCl,248.71,Comprehensive,2.344911623827759,0.5853658536585366,C1CCNCC1
EN300-226608,CC(O)CCCBr,167.04,Comprehensive,3.0424881959049754,0.6666666666666666,
EN300-6731579,CC(Br)CCCO,167.04,Comprehensive,3.1514497343665138,0.6666666666666666,
EN300-52467,OCCOCCCl,124.57,Comprehensive,2.426668930653632,0.9375,
EN300-6210452,OCCCCCI,214.04,Comprehensive,2.489406582475496,0.9230769230769231,
EN300-255946,OC1CC(CBr)C1,165.03,Comprehensive,2.9474082019086936,1.0,C1CCC1
